Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_69,VGND,li1,37.9500,38.0800,0.000006
FILLER_9_66,VGND,li1,36.5700,38.0800,0.000006
FILLER_9_63,VGND,li1,35.1900,38.0800,0.000006
FILLER_9_60,VGND,li1,33.8100,38.0800,0.000006
FILLER_9_57,VGND,li1,32.4300,38.0800,0.000006
FILLER_9_54,VGND,li1,30.8200,38.0800,0.000006
FILLER_9_36,VGND,li1,22.3100,38.0800,0.000005
FILLER_9_33,VGND,li1,21.3900,38.0800,0.000005
FILLER_9_30,VGND,li1,20.0100,38.0800,0.000005
FILLER_9_27,VGND,li1,18.6300,38.0800,0.000005
FILLER_9_24,VGND,li1,17.2500,38.0800,0.000005
FILLER_9_21,VGND,li1,15.8700,38.0800,0.000005
FILLER_9_11,VGND,li1,10.8100,38.0800,0.000006
FILLER_8_131,VGND,li1,66.4700,32.6400,0.000044
FILLER_8_128,VGND,li1,65.0900,32.6400,0.000044
FILLER_8_97,VGND,li1,50.6000,32.6400,0.000038
FILLER_8_94,VGND,li1,49.4500,32.6400,0.000036
FILLER_8_91,VGND,li1,48.0700,32.6400,0.000036
FILLER_8_88,VGND,li1,46.6900,32.6400,0.000035
FILLER_8_85,VGND,li1,45.3100,32.6400,0.000035
FILLER_8_69,VGND,li1,37.7200,32.6400,0.000028
FILLER_8_66,VGND,li1,36.5700,32.6400,0.000028
FILLER_8_63,VGND,li1,35.1900,32.6400,0.000025
FILLER_8_60,VGND,li1,33.8100,32.6400,0.000025
FILLER_8_35,VGND,li1,22.3100,32.6400,0.000017
FILLER_8_32,VGND,li1,20.9300,32.6400,0.000018
FILLER_8_29,VGND,li1,19.5500,32.6400,0.000018
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000019
FILLER_7_116,VGND,li1,59.1100,32.6400,0.000042
FILLER_7_113,VGND,li1,58.1900,32.6400,0.000042
FILLER_7_94,VGND,li1,49.2200,32.6400,0.000036
FILLER_7_91,VGND,li1,48.0700,32.6400,0.000036
FILLER_7_72,VGND,li1,39.1000,32.6400,0.000030
FILLER_7_69,VGND,li1,37.9500,32.6400,0.000028
FILLER_7_66,VGND,li1,36.5700,32.6400,0.000028
FILLER_7_63,VGND,li1,35.1900,32.6400,0.000025
FILLER_7_60,VGND,li1,33.8100,32.6400,0.000025
FILLER_7_57,VGND,li1,32.4300,32.6400,0.000023
FILLER_7_37,VGND,li1,23.0000,32.6400,0.000017
FILLER_7_34,VGND,li1,21.8500,32.6400,0.000018
FILLER_7_31,VGND,li1,20.4700,32.6400,0.000018
FILLER_7_28,VGND,li1,19.0900,32.6400,0.000018
FILLER_7_25,VGND,li1,17.7100,32.6400,0.000019
FILLER_7_22,VGND,li1,16.3300,32.6400,0.000019
FILLER_7_11,VGND,li1,11.0400,32.6400,0.000021
FILLER_6_131,VGND,li1,66.4700,27.2000,0.000107
FILLER_6_128,VGND,li1,65.0900,27.2000,0.000107
FILLER_6_125,VGND,li1,63.7100,27.2000,0.000107
FILLER_6_122,VGND,li1,62.3300,27.2000,0.000107
FILLER_6_119,VGND,li1,60.9500,27.2000,0.000107
FILLER_6_116,VGND,li1,59.5700,27.2000,0.000107
FILLER_6_113,VGND,li1,58.1900,27.2000,0.000107
FILLER_6_110,VGND,li1,56.8100,27.2000,0.000107
FILLER_6_107,VGND,li1,55.4300,27.2000,0.000107
FILLER_6_104,VGND,li1,54.0500,27.2000,0.000107
FILLER_6_101,VGND,li1,52.6700,27.2000,0.000107
FILLER_6_98,VGND,li1,51.2900,27.2000,0.000107
FILLER_6_91,VGND,li1,47.6100,27.2000,0.000102
FILLER_6_88,VGND,li1,46.6900,27.2000,0.000102
FILLER_6_85,VGND,li1,45.3100,27.2000,0.000097
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000097
FILLER_6_77,VGND,li1,41.1700,27.2000,0.000092
FILLER_6_74,VGND,li1,40.2500,27.2000,0.000087
FILLER_6_71,VGND,li1,38.8700,27.2000,0.000087
FILLER_6_68,VGND,li1,37.4900,27.2000,0.000082
FILLER_6_65,VGND,li1,36.1100,27.2000,0.000078
FILLER_6_62,VGND,li1,34.7300,27.2000,0.000078
FILLER_6_59,VGND,li1,33.3500,27.2000,0.000073
FILLER_6_32,VGND,li1,20.7000,27.2000,0.000053
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000054
FILLER_6_25,VGND,li1,17.7100,27.2000,0.000055
FILLER_5_132,VGND,li1,66.7000,27.2000,0.000107
FILLER_5_129,VGND,li1,65.5500,27.2000,0.000107
FILLER_5_126,VGND,li1,64.1700,27.2000,0.000107
FILLER_5_123,VGND,li1,62.7900,27.2000,0.000107
FILLER_5_120,VGND,li1,61.4100,27.2000,0.000107
FILLER_5_110,VGND,li1,56.5800,27.2000,0.000107
FILLER_5_107,VGND,li1,55.4300,27.2000,0.000107
FILLER_5_69,VGND,li1,37.4900,27.2000,0.000082
FILLER_5_66,VGND,li1,36.5700,27.2000,0.000082
FILLER_5_63,VGND,li1,35.1900,27.2000,0.000078
FILLER_5_60,VGND,li1,33.8100,27.2000,0.000073
FILLER_5_57,VGND,li1,32.4300,27.2000,0.000073
FILLER_5_53,VGND,li1,30.5900,27.2000,0.000069
FILLER_5_50,VGND,li1,29.2100,27.2000,0.000063
FILLER_5_37,VGND,li1,23.0000,27.2000,0.000052
FILLER_5_34,VGND,li1,21.8500,27.2000,0.000053
FILLER_5_31,VGND,li1,20.4700,27.2000,0.000053
FILLER_5_28,VGND,li1,19.0900,27.2000,0.000054
FILLER_5_25,VGND,li1,17.7100,27.2000,0.000055
