Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_5_83,VGND,li1,44.3900,27.2000,0.000034
FILLER_5_77,VGND,li1,41.1700,27.2000,0.000032
FILLER_5_74,VGND,li1,40.2500,27.2000,0.000030
FILLER_5_71,VGND,li1,38.8700,27.2000,0.000029
FILLER_5_68,VGND,li1,37.4900,27.2000,0.000029
FILLER_5_57,VGND,li1,32.2000,27.2000,0.000024
FILLER_5_49,VGND,li1,28.5200,27.2000,0.000019
FILLER_5_46,VGND,li1,27.3700,27.2000,0.000019
FILLER_5_43,VGND,li1,25.9900,27.2000,0.000016
FILLER_5_40,VGND,li1,24.6100,27.2000,0.000016
FILLER_5_37,VGND,li1,23.2300,27.2000,0.000018
FILLER_5_27,VGND,li1,18.1700,27.2000,0.000020
FILLER_5_24,VGND,li1,17.2500,27.2000,0.000021
FILLER_5_21,VGND,li1,15.8700,27.2000,0.000021
FILLER_4_97,VGND,li1,50.6000,21.7600,0.000024
FILLER_4_91,VGND,li1,47.6100,21.7600,0.000023
FILLER_4_88,VGND,li1,46.6900,21.7600,0.000023
FILLER_4_85,VGND,li1,45.3100,21.7600,0.000023
FILLER_4_81,VGND,li1,43.4700,21.7600,0.000022
FILLER_4_78,VGND,li1,42.0900,21.7600,0.000022
FILLER_4_75,VGND,li1,40.7100,21.7600,0.000021
FILLER_4_72,VGND,li1,39.3300,21.7600,0.000021
FILLER_4_69,VGND,li1,37.9500,21.7600,0.000020
FILLER_4_66,VGND,li1,36.5700,21.7600,0.000020
FILLER_4_52,VGND,li1,29.9000,21.7600,0.000016
FILLER_4_49,VGND,li1,28.7500,21.7600,0.000016
FILLER_4_42,VGND,li1,25.3000,21.7600,0.000013
FILLER_4_39,VGND,li1,24.1500,21.7600,0.000013
FILLER_4_17,VGND,li1,14.0300,21.7600,0.000019
FILLER_4_14,VGND,li1,12.6500,21.7600,0.000020
FILLER_4_11,VGND,li1,11.2700,21.7600,0.000020
FILLER_3_113,VGND,li1,57.7300,21.7600,0.000025
FILLER_3_110,VGND,li1,56.5800,21.7600,0.000025
FILLER_3_107,VGND,li1,55.4300,21.7600,0.000024
FILLER_3_104,VGND,li1,54.0500,21.7600,0.000024
FILLER_3_101,VGND,li1,52.6700,21.7600,0.000024
FILLER_3_98,VGND,li1,51.2900,21.7600,0.000024
FILLER_3_91,VGND,li1,47.8400,21.7600,0.000023
FILLER_3_75,VGND,li1,40.7100,21.7600,0.000021
FILLER_3_72,VGND,li1,39.3300,21.7600,0.000021
FILLER_3_69,VGND,li1,37.9500,21.7600,0.000020
FILLER_3_57,VGND,li1,32.4300,21.7600,0.000017
FILLER_3_46,VGND,li1,26.9100,21.7600,0.000014
FILLER_3_43,VGND,li1,25.9900,21.7600,0.000014
FILLER_3_40,VGND,li1,24.6100,21.7600,0.000013
FILLER_3_23,VGND,li1,16.7900,21.7600,0.000018
FILLER_3_20,VGND,li1,15.4100,21.7600,0.000018
FILLER_3_3,VGND,li1,7.5900,21.7600,0.000021
FILLER_2_111,VGND,li1,57.2700,16.3200,0.000024
FILLER_2_108,VGND,li1,55.8900,16.3200,0.000024
FILLER_2_105,VGND,li1,54.5100,16.3200,0.000024
FILLER_2_102,VGND,li1,53.1300,16.3200,0.000024
FILLER_2_99,VGND,li1,51.7500,16.3200,0.000024
FILLER_2_90,VGND,li1,47.1500,16.3200,0.000024
FILLER_2_81,VGND,li1,43.4700,16.3200,0.000024
FILLER_2_70,VGND,li1,38.4100,16.3200,0.000022
FILLER_2_48,VGND,li1,27.8300,16.3200,0.000016
FILLER_2_45,VGND,li1,26.9100,16.3200,0.000016
FILLER_2_42,VGND,li1,25.5300,16.3200,0.000014
FILLER_2_39,VGND,li1,24.1500,16.3200,0.000015
FILLER_2_36,VGND,li1,22.7700,16.3200,0.000015
FILLER_2_26,VGND,li1,17.9400,16.3200,0.000018
FILLER_2_21,VGND,li1,15.4100,16.3200,0.000019
FILLER_2_6,VGND,li1,8.5100,16.3200,0.000020
FILLER_2_3,VGND,li1,7.5900,16.3200,0.000020
FILLER_1_113,VGND,li1,57.7300,16.3200,0.000024
FILLER_1_110,VGND,li1,56.5800,16.3200,0.000024
FILLER_1_107,VGND,li1,55.4300,16.3200,0.000024
FILLER_1_104,VGND,li1,54.0500,16.3200,0.000024
FILLER_1_101,VGND,li1,52.6700,16.3200,0.000024
FILLER_1_98,VGND,li1,51.2900,16.3200,0.000024
FILLER_1_95,VGND,li1,49.9100,16.3200,0.000024
FILLER_1_87,VGND,li1,45.7700,16.3200,0.000024
FILLER_1_77,VGND,li1,41.6300,16.3200,0.000023
FILLER_1_49,VGND,li1,28.5200,16.3200,0.000016
FILLER_1_46,VGND,li1,27.3700,16.3200,0.000016
FILLER_1_43,VGND,li1,25.9900,16.3200,0.000014
FILLER_1_40,VGND,li1,24.6100,16.3200,0.000014
FILLER_1_37,VGND,li1,23.2300,16.3200,0.000015
FILLER_1_9,VGND,li1,10.1200,16.3200,0.000020
FILLER_1_6,VGND,li1,8.9700,16.3200,0.000020
FILLER_1_3,VGND,li1,7.5900,16.3200,0.000020
FILLER_0_113,VGND,li1,57.7300,10.8800,0.000011
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000011
FILLER_0_106,VGND,li1,54.9700,10.8800,0.000011
FILLER_0_103,VGND,li1,53.5900,10.8800,0.000011
FILLER_0_100,VGND,li1,52.2100,10.8800,0.000011
FILLER_0_97,VGND,li1,50.8300,10.8800,0.000011
FILLER_0_94,VGND,li1,49.4500,10.8800,0.000011
FILLER_0_91,VGND,li1,48.0700,10.8800,0.000011
FILLER_0_88,VGND,li1,46.6900,10.8800,0.000011
FILLER_0_85,VGND,li1,45.3100,10.8800,0.000011
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000011
FILLER_0_78,VGND,li1,42.0900,10.8800,0.000011
FILLER_0_75,VGND,li1,40.7100,10.8800,0.000011
FILLER_0_57,VGND,li1,32.2000,10.8800,0.000009
